Subject,Code,Link
Lettres françaises,fra,https://catalogue.uottawa.ca/en/courses/fra/
Linguistics,lin,https://catalogue.uottawa.ca/en/courses/lin/
Management,mgt,https://catalogue.uottawa.ca/en/courses/mgt/
Master's Thesis,thm,https://catalogue.uottawa.ca/en/courses/thm/
Mathematics,mat,https://catalogue.uottawa.ca/en/courses/mat/
MBA Program,mba,https://catalogue.uottawa.ca/en/courses/mba/
Mechanical Engineering,mcg,https://catalogue.uottawa.ca/en/courses/mcg/
Medical Intern or Resident,inr,https://catalogue.uottawa.ca/en/courses/inr/
Medicine,med,https://catalogue.uottawa.ca/en/courses/med/
Medicine,pcs,https://catalogue.uottawa.ca/en/courses/pcs/
Medieval Studies,mdv,https://catalogue.uottawa.ca/en/courses/mdv/
Microbiology and Immunology,mic,https://catalogue.uottawa.ca/en/courses/mic/
Modern Languages,llm,https://catalogue.uottawa.ca/en/courses/llm/
Music,mus,https://catalogue.uottawa.ca/en/courses/mus/
Neurology,nap,https://catalogue.uottawa.ca/en/courses/nap/
Neuroscience,nsc,https://catalogue.uottawa.ca/en/courses/nsc/
Notary Law,not,https://catalogue.uottawa.ca/en/courses/not/
Nursing,nsg,https://catalogue.uottawa.ca/en/courses/nsg/
Nutrition,nut,https://catalogue.uottawa.ca/en/courses/nut/
Obstetrics and Gynecology,obg,https://catalogue.uottawa.ca/en/courses/obg/
Occupational Therapy,erg,https://catalogue.uottawa.ca/en/courses/erg/
Ophthalmic Medical Technology,omt,https://catalogue.uottawa.ca/en/courses/omt/
Ophthalmology,oph,https://catalogue.uottawa.ca/en/courses/oph/
Orthopaedic Pathology,ort,https://catalogue.uottawa.ca/en/courses/ort/
Pathology and Experimental Medicine,pme,https://catalogue.uottawa.ca/en/courses/pme/
Pediatrics,pae,https://catalogue.uottawa.ca/en/courses/pae/
Pharmacology,pha,https://catalogue.uottawa.ca/en/courses/pha/
Philosophy,phi,https://catalogue.uottawa.ca/en/courses/phi/
Physics,phy,https://catalogue.uottawa.ca/en/courses/phy/
Physiology,phs,https://catalogue.uottawa.ca/en/courses/phs/
Physiotherapy,pht,https://catalogue.uottawa.ca/en/courses/pht/
Polish,pln,https://catalogue.uottawa.ca/en/courses/pln/
Political Science,pol,https://catalogue.uottawa.ca/en/courses/pol/
Population Health,pop,https://catalogue.uottawa.ca/en/courses/pop/
Population Health Risk Assessment and Management,phr,https://catalogue.uottawa.ca/en/courses/phr/
Portuguese,por,https://catalogue.uottawa.ca/en/courses/por/
Pre-internship Program,pip,https://catalogue.uottawa.ca/en/courses/pip/
Psychiatry,pct,https://catalogue.uottawa.ca/en/courses/pct/
Psychology,psy,https://catalogue.uottawa.ca/en/courses/psy/
Public Administration,pap,https://catalogue.uottawa.ca/en/courses/pap/
Public and International Affairs,api,https://catalogue.uottawa.ca/en/courses/api/
Radiology,rad,https://catalogue.uottawa.ca/en/courses/rad/
Rehabilitation Sciences,rea,https://catalogue.uottawa.ca/en/courses/rea/
Religious Studies,srs,https://catalogue.uottawa.ca/en/courses/srs/
Russian Language and Culture,rus,https://catalogue.uottawa.ca/en/courses/rus/
Science (General),sci,https://catalogue.uottawa.ca/en/courses/sci/
"Science, Society and Policy",isp,https://catalogue.uottawa.ca/en/courses/isp/
Second-Language Teaching,dls,https://catalogue.uottawa.ca/en/courses/dls/
Social Sciences,scs,https://catalogue.uottawa.ca/en/courses/scs/
Social Sciences - Co-op,fss,https://catalogue.uottawa.ca/en/courses/fss/
Social Sciences of Health,sss,https://catalogue.uottawa.ca/en/courses/sss/
Social Work,svs,https://catalogue.uottawa.ca/en/courses/svs/
Sociology,soc,https://catalogue.uottawa.ca/en/courses/soc/
Software Engineering,seg,https://catalogue.uottawa.ca/en/courses/seg/
Spanish,esp,https://catalogue.uottawa.ca/en/courses/esp/
Speech-Language Pathology,ora,https://catalogue.uottawa.ca/en/courses/ora/
Systems Science,sys,https://catalogue.uottawa.ca/en/courses/sys/
Theatre,the,https://catalogue.uottawa.ca/en/courses/the/
Translation,tra,https://catalogue.uottawa.ca/en/courses/tra/
Translational and Molecular Medicine,tmm,https://catalogue.uottawa.ca/en/courses/tmm/
Urology,uro,https://catalogue.uottawa.ca/en/courses/uro/
Vered Jewish Canadian Studies,jcs,https://catalogue.uottawa.ca/en/courses/jcs/
Visual Arts,art,https://catalogue.uottawa.ca/en/courses/art/
Women's Studies,fem,https://catalogue.uottawa.ca/en/courses/fem/
World Literatures and Cultures,lcm,https://catalogue.uottawa.ca/en/courses/lcm/
Yiddish,ydd,https://catalogue.uottawa.ca/en/courses/ydd/
