code,department,faculty,link,term,title
EAS1101,Arts (General),Faculty of Arts,Course.aspx?id=009180&term=2189&session=FS,2018 Fall Term,Introduction to Aboriginal Societies and Cultures
EAS1101,Arts (General),Faculty of Arts,Course.aspx?id=009180&term=2189&session=FS,2018 Fall Term,Introduction to Aboriginal Societies and Cultures
MAT1300,Department of Mathematics and Statistics,Faculty of Science,Course.aspx?id=019732&term=2189&session=FS,2018 Fall Term,Mathematical Methods I
MAT1300,Department of Mathematics and Statistics,Faculty of Science,Course.aspx?id=019732&term=2191&session=FS,2019 Winter Term,Mathematical Methods I
MAT1700,Department of Mathematics and Statistics,Faculty of Science,Course.aspx?id=019762&term=2189&session=FS,2018 Fall Term,Méthodes mathématiques I
MAT1700,Department of Mathematics and Statistics,Faculty of Science,Course.aspx?id=019762&term=2191&session=FS,2019 Winter Term,Méthodes mathématiques I
